gbest	iteracao
19.709674813169965	300
15.066002535959015	350
14.035629574749798	400
13.131195115308678	450
11.463538069340297	500
8.326285640634444	550
6.771801754042507	600
5.5028628399543535	650
5.189783026813572	700
5.189783026813572	750
4.679638982520814	800
4.42962501911029	850
4.195332387745623	900
2.715130012275905	950
2.453761084669079	1000
454.1561344779861	0
98.53885861841721	50
59.22443542107924	100
45.451778037762566	150
32.77898426603198	200
30.364337588751624	250
23.650420011054244	300
19.742343316350762	350
17.709981961807834	400
16.06033314619839	450
13.615494442667314	500
11.749782586360313	550
11.749782586360313	600
9.84371332237968	650
6.071201406575755	700
5.183677906604872	750
5.183677906604872	800
4.777414671928208	850
3.659558122496236	900
3.115753823653222	950
2.608487055553752	1000
432.90926022964754	0
95.05320805459999	50
56.4724296013579	100
44.74234318889357	150
36.99104356087015	200
30.88314911124304	250
26.241954593898647	300
23.540692543104235	350
19.752635175713344	400
17.948485938490244	450
16.626426501977328	500
14.921196544982486	550
14.288145170929461	600
12.1344023807005	650
9.764410999120244	700
9.045200407765323	750
6.016958123174151	800
5.291173684470451	850
3.128647306302483	900
3.113972434161454	950
2.278696814968768	1000
485.65796022169985	0
121.30713608528484	50
70.00326815358721	100
52.655584960792574	150
42.73656829342661	200
36.81690131430898	250
30.767766503904667	300
26.11518689997844	350
23.94047459654567	400
22.589513970768877	450
21.0481431051833	500
17.937844704913516	550
15.612951696256944	600
13.075201619855358	650
9.273140524392291	700
8.659190112862406	750
8.430780289706322	800
7.405558827397131	850
7.053165576955022	900
7.053165576955022	950
5.4149669530069815	1000
454.87847234568034	0
140.26792063335157	50
83.621868835558	100
65.79965889266906	150
57.07947320547579	200
45.61357697884141	250
36.412333192538675	300
32.340761663929214	350
28.35270041293326	400
22.27038408761444	450
19.727867787653665	500
17.39941851140756	550
16.699085846316166	600
14.632963891061523	650
12.538638611941893	700
10.412133130712023	750
7.989429579745977	800
7.904604995385828	850
7.522987521210187	900
6.515766143774451	950
6.070085105335702	1000
438.44556540430636	0
126.3250134115228	50
65.74232113959258	100
43.817345826184095	150
33.038698826440395	200
21.397093819270683	250
20.168721536802718	300
16.089565575746796	350
13.753506820378199	400
12.389504646867817	450
9.739843960272491	500
7.928402686766606	550
7.456922086206493	600
6.644170735122827	650
5.079440872548567	700
5.079440872548567	750
3.0283619031541846	800
3.0283619031541846	850
2.4820149690154025	900
2.1058951927591707	950
1.742554000467397	1000
395.0973698424524	0
119.63206034316774	50
62.94219017088718	100
43.418345690628776	150
37.63076137591374	200
29.49319008867085	250
24.25171814636449	300
22.681009743566214	350
18.995873280394406	400
17.213635954266707	450
14.983358290618412	500
13.267532116928521	550
11.99952287777156	600
11.019416157616247	650
9.74248764207597	700
9.243015230557353	750
8.345924268713125	800
6.675487077753521	850
4.722771221767818	900
3.9086781128169186	950
3.700362283837867	1000
412.64331965780553	0
134.26181289708506	50
82.96861137852248	100
47.79253565996282	150
41.56321176771917	200
31.373574284648456	250
25.053221859254002	300
20.69432080917006	350
17.06462923912155	400
11.787665875513843	450
10.890538033636576	500
8.651298132076258	550
7.205560774344072	600
6.517819077566351	650
6.300809285558733	700
5.787439194613631	750
5.660870708745767	800
4.741217161023931	850
4.2308275248360125	900
3.6233864855875986	950
3.6230911643885726	1000
485.49164491782403	0
119.47058468927527	50
82.76929028200352	100
61.66082963856826	150
45.92317868970555	200
34.51536409122264	250
27.840163024494483	300
20.659639029938447	350
16.203741259842147	400
13.871872248836466	450
12.048471701649325	500
9.256380874659433	550
9.126216102774853	600
7.576400147328448	650
4.830822212646151	700
4.467928716309938	750
4.155076619926302	800
3.3962359760478513	850
2.657478417948429	900
2.501225850017324	950
2.501225850017324	1000
431.2293530758821	0
138.90688787753206	50
85.045726035614	100
67.7988067883089	150
54.46276332011441	200
42.9068306039077	250
31.437923572967826	300
27.274938326069393	350
23.97464057829585	400
20.89297272404703	450
17.528904246147267	500
16.084664885615172	550
13.91654798704295	600
13.152123010834433	650
11.110126218952344	700
9.333322414112933	750
7.691068191633738	800
6.716117812287612	850
5.000998980086569	900
3.6194055580585047	950
2.7370362987611703	1000
455.60890740487315	0
102.26575369234813	50
58.425310404446364	100
49.53970545704972	150
37.8084460614247	200
31.32795505548462	250
27.879387210498837	300
24.12403264558486	350
22.281885649894647	400
18.811698154430985	450
15.194486555083728	500
13.972921595919956	550
11.277906381681305	600
9.971876253657541	650
7.666525020356948	700
7.281722506545043	750
6.398691309373595	800
5.560118870658789	850
4.17172938868949	900
4.0580175083514884	950
4.023792947528156	1000
456.34452253560937	0
134.82083337982257	50
75.77437282497006	100
54.51968215493544	150
35.2473332649878	200
26.336382157011112	250
22.820865098977833	300
19.906540639599598	350
18.014537772739175	400
15.763704338860725	450
14.870956557015178	500
12.502283173329504	550
11.77622883909318	600
11.56427314541783	650
10.666612099298861	700
9.511036892315063	750
7.144746981442298	800
5.827484671936206	850
3.874771980343917	900
3.854793298199235	950
2.8542266407249404	1000
451.1771003653308	0
123.57004030111473	50
66.03367752070568	100
49.03502344386675	150
39.78896040398148	200
33.099370213068426	250
27.395973051589806	300
23.00903191308312	350
20.5356422976773	400
18.567251109392146	450
16.131217343318426	500
12.633530357131372	550
10.75448018134639	600
9.836698373532835	650
8.336464400501734	700
6.78027644704772	750
5.753466319913009	800
4.265720158889918	850
3.7647638110700665	900
2.2476997050032264	950
2.1626347767323306	1000
473.8751558993174	0
102.78029718768852	50
53.78496759026811	100
33.24142459203921	150
29.122560327909568	200
22.03037538486697	250
17.79207074878522	300
14.614832672730705	350
13.592287524316509	400
11.418104398928326	450
11.087131196069462	500
8.556691695719387	550
7.70064151072301	600
5.720844340903149	650
5.244219666352372	700
4.742589890953276	750
