ano;m3s;log
mar/1966;2243;7,715466836
abr/1966;1098;7,001511469
mai/1966;780;6,659012167
jun/1966;489;6,192571625
jul/1966;373;5,920653167
ago/1966;284;5,650104975
set/1966;238;5,473984009
out/1966;408;6,01150776
nov/1966;439;6,084510389
dez/1966;893;6,794124031
jan/1967;866;6,764232704
fev/1967;1232;7,116071647
mar/1967;1289;7,161872272
abr/1967;958;6,865190422
mai/1967;560;6,328522616
jun/1967;381;5,943491022
jul/1967;288;5,661410718
ago/1967;211;5,353566822
set/1967;159;5,069625978
out/1967;183;5,212120458
nov/1967;469;6,150412339
dez/1967;870;6,768717935
jan/1968;754;6,625375452
fev/1968;1458;7,284934546
mar/1968;2427;7,794553948
abr/1968;1018;6,925411491
mai/1968;600;6,396560681
jun/1968;422;6,044805834
jul/1968;317;5,758909985
ago/1968;258;5,553590246
set/1968;245;5,500667441
out/1968;325;5,782428495
nov/1968;709;6,563807744
dez/1968;1473;7,295072235
jan/1969;962;6,868806133
fev/1969;1850;7,522919731
mar/1969;1578;7,36369305
abr/1969;769;6,64543496
mai/1969;599;6,395270551
jun/1969;415;6,029392536
jul/1969;298;5,697766717
ago/1969;236;5,465848736
set/1969;211;5,350280557
out/1969;259;5,555844008
nov/1969;895;6,797261176
dez/1969;1655;7,411747872
jan/1970;2676;7,892002347
fev/1970;1960;7,580848777
mar/1970;2450;7,803920655
abr/1970;1505;7,316355809
mai/1970;783;6,663009905
jun/1970;533;6,27852129
jul/1970;416;6,029632122
ago/1970;329;5,795001989
set/1970;312;5,744408225
out/1970;457;6,125643796
nov/1970;811;6,698827988
dez/1970;635;6,453097197
jan/1971;564;6,335845732
fev/1971;597;6,391652715
mar/1971;712;6,567811528
abr/1971;728;6,589619335
mai/1971;400;5,992348547
jun/1971;291;5,674148356
jul/1971;222;5,404784092
ago/1971;184;5,214031802
set/1971;187;5,230201723
out/1971;378;5,933734076
nov/1971;1171;7,065223712
dez/1971;1304;7,173171034
jan/1972;801;6,686068728
fev/1972;882;6,782611127
mar/1972;1135;7,034632535
abr/1972;977;6,884678175
mai/1972;521;6,254941891
jun/1972;375;5,926643663
jul/1972;294;5,682319363
ago/1972;233;5,449704058
set/1972;198;5,289989606
out/1972;446;6,100317
nov/1972;719;6,578528475
dez/1972;1928;7,563995615
jan/1973;1249;7,129904294
fev/1973;1264;7,142139866
mar/1973;1848;7,521684955
abr/1973;1647;7,406874671
mai/1973;694;6,542515783
jun/1973;488;6,190445808
jul/1973;421;6,042558564
ago/1973;318;5,761806072
set/1973;258;5,551793614
out/1973;786;6,667042934
nov/1973;1023;6,930523665
dez/1973;1124;7,024637202
jan/1974;975;6,882476413
fev/1974;984;6,892119601
mar/1974;2415;7,789471012
abr/1974;1886;7,542028472
mai/1974;1005;6,91228818
jun/1974;649;6,475592507
jul/1974;488;6,189542175
ago/1974;386;5,954708236
set/1974;317;5,76042629
out/1974;451;6,110894628
nov/1974;577;6,358002573
dez/1974;781;6,66083962
jan/1975;831;6,722521762
fev/1975;1248;7,129401348
mar/1975;785;6,665937038
abr/1975;1093;6,99668468
mai/1975;565;6,336920687
jun/1975;401;5,992768931
jul/1975;322;5,773384645
ago/1975;256;5,547092516
set/1975;212;5,357485531
out/1975;397;5,983799327
nov/1975;647;6,472947778
dez/1975;668;6,503663911
jan/1976;611;6,414495865
fev/1976;938;6,843286096
mar/1976;1124;7,024987939
abr/1976;714;6,570752638
mai/1976;509;6,232800433
jun/1976;348;5,851061601
jul/1976;272;5,605828011
ago/1976;221;5,397480324
set/1976;254;5,538835584
out/1976;370;5,913109211
nov/1976;880;6,780325726
dez/1976;1417;7,256239193
jan/1977;2077;7,638582621
fev/1977;2936;7,984940117
mar/1977;1038;6,944877924
abr/1977;1106;7,008247916
mai/1977;670;6,507828382
jun/1977;531;6,275186687
jul/1977;401;5,993876174
ago/1977;317;5,75897415
set/1977;307;5,727867508
out/1977;420;6,041318245
nov/1977;538;6,287307985
dez/1977;1122;7,022888246
jan/1978;3039;8,01927562
fev/1978;2306;7,743469004
mar/1978;2721;7,908937757
abr/1978;1451;7,279929497
mai/1978;861;6,758093377
jun/1978;657;6,488435671
jul/1978;509;6,231808915
ago/1978;394;5,977091698
set/1978;332;5,804289407
out/1978;427;6,057064545
nov/1978;510;6,234438771
dez/1978;1001;6,908259231
jan/1979;3511;8,163651185
fev/1979;4627;8,439582764
mar/1979;2170;7,682417079
abr/1979;1382;7,230934067
mai/1979;856;6,752574633
jun/1979;670;6,507510813
